"Ind_Ebbinghaus_Diff_Error","Ind_Ebbinghaus_Strength_Error","Ind_Ebbinghaus_Interaction_Error","Ind_Ebbinghaus_Diff_RT","Ind_Ebbinghaus_Strength_RT","Ind_Ebbinghaus_Interaction_RT","Ind_MullerLyer_Diff_Error","Ind_MullerLyer_Strength_Error","Ind_MullerLyer_Interaction_Error","Ind_MullerLyer_Diff_RT","Ind_MullerLyer_Strength_RT","Ind_MullerLyer_Interaction_RT","Ind_VerticalHorizontal_Diff_Error","Ind_VerticalHorizontal_Strength_Error","Ind_VerticalHorizontal_Interaction_Error","Ind_VerticalHorizontal_Diff_RT","Ind_VerticalHorizontal_Strength_RT","Ind_VerticalHorizontal_Interaction_RT","Participant","PriorScale"
-20.22465,2.536345,3.080995,-0.8380105,-0.01871015,0.2964205,-30.32695,1.58799,1.40354,-0.8124515,0.018997,-0.009867655,-15.85295,0.7273735,0.5453625,-0.91379,0.05006995,0.007402685,"S064",0.5
-19.47065,2.63109,4.248635,-0.830309,-0.0124688,0.307487,-30.42855,1.58715,1.364685,-0.812718,0.01617815,-0.0116574,-15.5404,0.6802415,0.499188,-0.9241505,0.0502552,0.00997115,"S064",1
-18.0621,2.80834,6.72445,-0.7954155,0.0006850115,0.3996745,-30.5196,1.601795,1.380455,-0.7794575,0.00508888,-0.01072025,-15.10655,0.6594435,0.534471,-0.955518,0.05097135,0.0127511,"S064",2
-15.78745,2.975405,10.27335,-0.778882,0.03853655,0.667658,-30.6883,1.65904,1.30702,-0.557887,-0.00843571,0.01241315,-14.8794,0.6600725,0.5282425,-0.9923525,0.037072,0.0368524,"S064",4
-20.78175,2.421845,2.212285,-0.840131,-0.01947385,0.287175,-30.53355,1.582635,1.34396,-0.816025,0.0188841,-0.01008985,-15.8401,0.740544,0.557431,-0.918221,0.04822335,0.004489035,"S421",0.5
-20.8548,2.352795,1.72308,-0.8423655,-0.01890115,0.2811035,-30.85245,1.566565,1.22756,-0.81932,0.01611405,-0.0119807,-15.8802,0.6944225,0.402678,-0.9263495,0.04505005,-0.00358794,"S421",1
-20.9689,2.248955,1.05262,-0.8442665,-0.0255232,0.200586,-31.36765,1.556075,1.05039,-0.805821,0.007254115,-0.01073125,-15.84545,0.654486,0.2031895,-0.8649185,0.03424975,0.0121628,"S421",2
-22.1971,2.28295,0.07460695,-0.78297,-0.02109935,0.139653,-32.26745,1.569035,0.7443295,-0.5279365,-0.00625177,0.0127777,-16.4,0.598136,-0.2276285,-0.588161,0.00881167,0.06348495,"S421",4
-20.7185,2.43365,2.251065,-0.8370255,-0.0184516,0.2972345,-30.3134,1.58882,1.42125,-0.8075685,0.01969895,-0.00907789,-15.83925,0.7250985,0.5461975,-0.9133735,0.0494483,0.006244525,"S433",0.5
-20.67495,2.369615,1.877295,-0.829491,-0.01073945,0.311141,-30.32535,1.59132,1.45465,-0.805246,0.0186051,-0.009273135,-15.42285,0.6789775,0.5079635,-0.91966,0.04817575,0.00171914,"S433",1
